PPv2 Leaderboard:
Rank | Name | Total PP | Top Play
171 | ASAPCurry#4896 | 6018.3008152679395 | 243.93279
172 | ClemenPine#2908 | 6009.393009808312 | 240.79971
173 | Orthogonal#1012 | 6006.688971428509 | 244.82758
174 | 🌵b1ack🌵#4479 | 5977.06605086565 | 320.11697
175 | kikichan86#1080 | 5976.427553839704 | 245.08214
176 | jaimee#2526 | 5959.032670658797 | 246.9319
177 | Cortmarshal#7274 | 5952.483119037378 | 222.28642
178 | jefffy#6004 | 5944.136137527789 | 269.53482
179 | lolwhat#2006 | 5940.69290437598 | 226.58293
180 | jester#4236 | 5934.3045390343095 | 255.6816
181 | Gwonny#1219 | 5925.138154398183 | 235.79633
182 | pasta#1595 | 5907.5602442388645 | 261.77313
183 | Nima#9347 | 5902.252667252183 | 356.67987
184 | buttprints#9779 | 5901.676578412643 | 243.60553
185 | marblehouse#0928 | 5895.241485365386 | 249.22845
186 | paralusion#8726 | 5891.477328737871 | 222.99388
187 | LeBumJames#4895 | 5885.177597480706 | 230.5793
188 | Kaden#3613 | 5866.773474543512 | 235.03027
189 | dannysaur#6894 | 5864.274038959906 | 277.29175
190 | Qwertoid#4743 | 5852.224084627476 | 248.10475
191 | Chriss#7898 | 5824.975058163274 | 249.70557
192 | Declyn#0318 | 5803.539755926153 | 246.65727
193 | TheProdigyHenry#5819 | 5801.842075507385 | 245.14421
194 | James#1038 | 5795.746431150339 | 225.8929
195 | hailayden#2092 | 5784.120465013336 | 213.45105
196 | peaceinchrist#7890 | 5776.334006372019 | 256.394
197 | JJ#2049 | 5763.467796481758 | 251.37346
198 | Yogit#3317 | 5763.133687219117 | 230.12761
199 | Quan#0170 | 5761.515826228541 | 255.4499
200 | kyle#1748 | 5759.477976849685 | 240.04004
201 | Gio#9179 | 5755.40409251057 | 279.0818
202 | Dango#4155 | 5748.781884486771 | 265.3848
203 | A Pack Wolf#8577 | 5744.889508812871 | 291.78174
204 | REC ON STEROIDS#3656 | 5742.920437485999 | 224.82417
205 | Asewze#3032 | 5737.807723062913 | 206.5879
206 | Slow_as_f_rip...#8551 | 5728.263724472421 | 238.4574
207 | residober#0194 | 5714.116189122683 | 313.21786
208 | Singleton#5859 | 5711.040597724931 | 214.5766
209 | rocket#0703 | 5707.4105029417815 | 276.39474
210 | helen#3326 | 5684.620764771359 | 291.09674
211 | Somar#2930 | 5679.526299399023 | 246.47928
212 | CJP#4489 | 5672.3730049982505 | 249.77267
213 | Loom981#0181 | 5664.276110675395 | 209.96873
214 | Lengo#3545 | 5654.584371567831 | 285.67026
215 | isaac#4317 | 5641.281696273719 | 236.3075
216 | OC#9938 | 5638.407151131129 | 247.16055
217 | FlyingPenguin#1906 | 5630.550699139964 | 279.8221
218 | Fake#3021 | 5627.630581664402 | 219.91434
219 | Potato#3532 | 5617.626396779647 | 233.26384
220 | joshi#0838 | 5601.6498990863165 | 239.73337
221 | Captain B.#0960 | 5598.947965202764 | 330.87112
222 | Afzofa#5762 | 5595.524202438712 | 274.42758
223 | kkkk1904#9818 | 5592.48083685907 | 208.81523
224 | _Zap#5432 | 5584.1150468363485 | 251.65439
225 | Dennis#2807 | 5582.0796798813535 | 208.8678
226 | bogo#8932 | 5564.977984151169 | 208.19624
227 | KIM#4045 | 5523.707601481551 | 254.61899
228 | Joey#1766 | 5519.857625781683 | 247.01279
229 | Mattboy802#5302 | 5514.715944409318 | 215.24573
230 | WHOISDEEZ#3077 | 5514.491596871803 | 243.84633
231 | SilverMium#8153 | 5511.032511592677 | 240.89435
232 | Loc#6114 | 5496.199205872952 | 198.17714
233 | Doge#9480 | 5462.718256823415 | 212.2703
234 | Grav#0907 | 5448.312941719125 | 221.66524
235 | Josephine#5248 | 5440.582957347898 | 202.2243
236 | Adem#4563 | 5437.147435470465 | 287.7133
237 | Liquid#2239 | 5436.089519307449 | 210.13791
238 | ookey#6467 | 5429.388207461273 | 210.26602
239 | noodlesoup#3057 | 5419.553769765894 | 208.11923
240 | Kat#6029 | 5418.839294242461 | 200.77516
241 | douji#6492 | 5418.8119728750335 | 236.55023
242 | capn#3032 | 5415.628354544625 | 214.3466
243 | thefatninja69#1015 | 5408.183895866368 | 330.7602
244 | Xystos#6353 | 5405.767589793811 | 219.22197
245 | who am i#5973 | 5400.167205232989 | 226.23901
246 | Dan#1493 | 5387.147275312369 | 205.56659
247 | dindondoe#5775 | 5383.912390854898 | 246.99731
248 | cloud#4986 | 5382.252903328072 | 199.55698
249 | ADAM#7206 | 5361.733042024701 | 214.6184
250 | Freezie#6874 | 5358.846574016483 | 231.85434
251 | Shiruzu#8569 | 5356.252467263299 | 195.82869
252 | Meeper#1883 | 5345.909192809359 | 208.8844
253 | Seras#4909 | 5324.298824584652 | 196.52528
254 | raot#0511 | 5311.784117236415 | 197.79956
255 | TheBloop#5153 | 5306.236537283535 | 190.31668
256 | Ryder#3170 | 5305.1796633669865 | 212.15797
257 | Rooster#1588 | 5301.363095425155 | 236.73141
258 | 11fdriver#1919 | 5275.583927738707 | 217.34807
259 | Creaserg#2358 | 5264.31250806446 | 205.57689
260 | Cryptocurrencies#8965 | 5251.166419695999 | 222.78857
261 | soda#8127 | 5232.039793764211 | 227.47649
262 | MerelyAFeris#1166 | 5225.046000699675 | 247.61668
263 | OOGLOO#3611 | 5224.440855233769 | 205.53339
264 | Kebabking#3473 | 5223.302317393847 | 261.35696
265 | Martin-Dvorak#9248 | 5219.054523592226 | 199.68852
266 | David#2469 | 5215.718637066392 | 268.80685
267 | Oxey#3900 | 5215.183794005188 | 196.30186
268 | Wobert#2770 | 5208.570078776079 | 247.51704
269 | Resonancy#7609 | 5189.933500049276 | 226.8824
270 | thousandperfume#5103 | 5189.247394166083 | 219.75009
271 | nusensei#3100 | 5166.19512739434 | 233.5152
272 | PigRank#2408 | 5164.299876051198 | 230.70927
273 | joni#0704 | 5160.4816411314 | 237.71535
274 | jasim#2933 | 5131.469139992844 | 200.05225
275 | Anas#9176 | 5130.957810155903 | 201.60855
276 | anne#8881 | 5127.857675959222 | 221.51459
277 | Afraidofthebomb#2755 | 5127.784512135131 | 210.8916
278 | Chunkerchunk#2469 | 5126.218633689315 | 247.56111
279 | Jimmy#2079 | 5122.645256662839 | 194.47801
280 | riff_cliff#3492 | 5111.452314939338 | 238.02182
281 | CrazyBoys#2651 | 5111.18021630506 | 220.23381
282 | Wally#5638 | 5086.022258181662 | 223.1233
283 | Kaden#8755 | 5080.345670500602 | 244.78714
284 | Smudge#8388 | 5078.533258099987 | 240.0841
285 | Coleslaw#8621 | 5077.456527198953 | 211.01277
286 | gr0undhog_x#9640 | 5076.455633366896 | 226.70776
287 | tesseract#7923 | 5072.158183278355 | 218.42061
288 | Lotus#4623 | 5071.2578601355135 | 224.05334
289 | heynocnoc#2551 | 5062.8342386806 | 203.42981
290 | Industry Baby#2509 | 5060.821060400989 | 203.0777
291 | KingCDG#2650 | 5050.457577597823 | 206.18701
292 | GamerofGames#4105 | 5047.1133758834885 | 248.44261
293 | flako#6601 | 5043.60516823569 | 237.48228
294 | nyfee#7738 | 5041.804297689271 | 234.03955
295 | Kevdawg#8063 | 5040.165220632798 | 240.38368
296 | john#8715 | 5027.760198149807 | 200.83221
297 | relative#3207 | 5020.287278885496 | 301.6358
298 | Glebby#1524 | 5015.244172653263 | 186.53949
299 | Robert#1840 | 5014.6715131649635 | 219.61275
300 | isaac.#7684 | 5012.168542725728 | 254.20271
301 | ekrem#4803 | 5006.678894729359 | 241.45728
302 | jA_eur0#4686 | 4999.0805012874325 | 197.3683
303 | Lizard#2043 | 4992.857435981903 | 198.11813
304 | Jen#5140 | 4992.1550342973105 | 195.13467
305 | boaz#0247 | 4991.988536655164 | 191.37482
306 | Vinpho#5673 | 4979.028528558404 | 233.944
307 | ActinalWhomp#3292 | 4974.044452353288 | 187.8993
308 | SpoopyMan#2801 | 4967.468267629056 | 254.44196
309 | reLACxAN#5442 | 4966.241739634894 | 177.78297
310 | Jimmy#8845 | 4963.922297511304 | 180.23842
311 | DAMAGED#0384 | 4955.081369389103 | 177.15779
312 | Ibexus#3198 | 4947.684457057621 | 317.66965
313 | piimpj#6454 | 4944.217847092251 | 216.13506
314 | Vinsmoke#4871 | 4931.588893052243 | 197.33974
315 | PJJ#2894 | 4928.339180978185 | 202.98953
316 | MySixthSenseBTC#6197 | 4924.67336980735 | 197.83917
317 | Owl#0882 | 4917.148365024151 | 190.66019
318 | Feuv#4172 | 4912.100017551563 | 178.93423
319 | DuuSuu#5695 | 4908.858938092523 | 181.03474
320 | Flare#9063 | 4898.114778322855 | 189.31192
321 | Joaquim#7779 | 4893.754007572574 | 209.32423
322 | xvi#2737 | 4889.6278238328705 | 212.42676
323 | adamV247#6641 | 4887.221555463942 | 208.95854
324 | Tandy#0296 | 4886.555729085456 | 192.58476
325 | Loofa#1927 | 4872.586468120512 | 243.8038
326 | SecurityLizard#1302 | 4865.171410269932 | 222.87009
327 | Sapphire7x#3447 | 4841.472032910173 | 258.42804
328 | Kai#7926 | 4838.816149016165 | 191.86845
329 | Mettox#8965 | 4830.935571456059 | 241.40396
330 | rice#1675 | 4828.6555477337415 | 179.6797
331 | Ace4896#6407 | 4816.68224605869 | 219.10883
332 | Efranix#7503 | 4802.840359851432 | 211.97061
333 | ARHAM#9284 | 4802.163882073797 | 215.3859
334 | Spectre#4625 | 4796.4193098443675 | 175.53409
335 | Luna#0494 | 4796.1289067844045 | 190.05101
336 | Insert_username#2778 | 4793.218123817041 | 193.8261
337 | Alex#4486 | 4789.229570886363 | 209.2123
338 | Cube#5734 | 4789.067096101519 | 190.8608
339 | JDP#0249 | 4781.743234394379 | 214.8776
340 | giovvah#1021 | 4780.073889572865 | 204.97308
341 | Abdou040#5216 | 4773.226307325119 | 185.13112
342 | blusader#8721 | 4771.43548782624 | 187.5695
343 | Daniel3131#2155 | 4770.63030095802 | 206.91948
344 | Athaya#2625 | 4769.6594708660405 | 225.98203
345 | illtrylivinglikethis#2988 | 4765.825335231221 | 222.06604
346 | 123456789#9607 | 4757.409984371161 | 209.9589
347 | The City Mouse#3042 | 4757.28463196365 | 222.01747
348 | Tedward765#6426 | 4755.14446252107 | 183.71867
349 | Murph#4737 | 4747.034353761395 | 189.1888
350 | Chkn_Mcnugit#1317 | 4741.52000308482 | 184.96712
351 | Cilperpin#4045 | 4737.107633451203 | 194.79352
352 | aethry!!!!#1827 | 4726.3207990959445 | 194.91948
353 | AlterSide#8653 | 4719.897399571668 | 185.50905
354 | universallegend22#6490 | 4719.310398229315 | 218.45071
355 | Cardeer#0995 | 4719.16464410095 | 213.74284
356 | vx#2033 | 4715.393637423956 | 181.18597
357 | TheDestroyist#1385 | 4703.11553242812 | 214.93391
358 | Supreme#6702 | 4702.035439408115 | 224.14278
359 | Linsk#7226 | 4695.93114178725 | 178.60156
360 | Someone#8587 | 4690.207431364758 | 220.38353
361 | tanami#4903 | 4686.18057441408 | 316.99783
362 | BlowZed#0954 | 4674.865421763881 | 177.61562
363 | dicey#76 | 4663.855365169685 | 246.43092
364 | Edulitoh#8563 | 4662.013231628566 | 227.39024
365 | Ordivides#8647 | 4658.494668740167 | 162.50621
366 | bowlingfan21317#0775 | 4655.364671077892 | 189.89993
367 | ko-gmoney#7531 | 4649.2593453776635 | 179.23169
368 | Lucas7yoshi#1122 | 4648.637842572904 | 187.8204
369 | eaza#3508 | 4648.504476821023 | 228.6452
370 | shadowyshadows#1562 | 4629.479798738609 | 335.38385
371 | Onion#3213 | 4627.783267999076 | 202.42844
372 | Reio#8852 | 4621.248530447646 | 187.04305
373 | じゃがいも猫#7541 | 4616.007990677455 | 189.63702
374 | Techy#3623 | 4615.171524537621 | 205.64401
375 | 0asis#3674 | 4606.45143602985 | 216.26814
376 | Chronopolize#9502 | 4605.495547007909 | 182.86601
377 | 3rdworldhero#5601 | 4604.074407276394 | 170.77892
378 | XD#1469 | 4601.820985935564 | 271.54126
379 | Marnexeultra#9387 | 4592.892266644942 | 176.30142
380 | GRIFFIN#2321 | 4592.377357386288 | 176.291
381 | chickaddd#4915 | 4589.692534084616 | 219.57838
382 | ZekeYega#3796 | 4587.6019558309845 | 180.42247
383 | Eclipse#2507 | 4585.822394527421 | 221.26907
384 | Bri#1153 | 4583.275375168749 | 197.45117
385 | Markaffix#9829 | 4582.949363432477 | 261.1342
386 | cwjalex#8689 | 4582.778355433095 | 278.0273
387 | TinySilverfish#3122 | 4580.48018364115 | 178.40935
388 | Ditto#7083 | 4574.521756523457 | 197.76167
389 | bigchest140#3097 | 4574.41508420949 | 224.76422
390 | Danny#0478 | 4573.592295326885 | 188.3096
391 | Dom#1371 | 4572.651051817652 | 234.77411
392 | Martincoo#1331 | 4568.420380530475 | 196.40662
393 | keyboard#3000 | 4561.059724751814 | 192.45633
394 | Hossel#5334 | 4559.433962630924 | 198.24153
395 | Miker#0950 | 4549.359154395564 | 177.01257
396 | Pable#7051 | 4546.648760668782 | 253.06879
397 | Quaintcolor#3323 | 4542.425642421757 | 268.77078
398 | Climbing Bird#6412 | 4541.924114752029 | 181.77756
399 | YoussefHM#2820 | 4535.833457451796 | 183.20174
400 | Eggy#3102 | 4534.831430595548 | 167.44951
401 | Kamisato Ayaka#3462 | 4531.664286397702 | 172.18483
402 | Nyan#3042 | 4531.597263295198 | 207.44246
403 | GAMIS65#3041 | 4529.2381549421625 | 174.7024
404 | Dusty#9248 | 4502.465866337122 | 195.30347
405 | dd0#6079 | 4498.0416306728785 | 201.59622
406 | Nicholas#9976 | 4496.143334100831 | 196.51941
407 | jucijuce#9573 | 4492.219413442077 | 200.21078
408 | Zambrix#3182 | 4491.1427655978105 | 210.77339
409 | xOceanKingx#4016 | 4486.734856562824 | 180.5288
410 | Gregory#2487 | 4485.474806537101 | 189.5727
411 | Ville#8671 | 4479.463159628559 | 176.89706
412 | alina#2000 | 4478.21170669837 | 227.83774
413 | ludovic#2729 | 4474.71137249861 | 185.69073
414 | Will#0322 | 4473.692811813113 | 167.4112
415 | youdA-#7735 | 4470.774617814259 | 159.14014
416 | Piemelt#9897 | 4467.38178398634 | 193.54182
417 | Veridian#5010 | 4466.539800977149 | 200.2014
418 | Graydon#2752 | 4464.6187585701755 | 177.91542
419 | You#7272 | 4455.582710409781 | 192.82591
420 | Wobert#4983 | 4454.860166480393 | 209.07597
421 | Deteriorating2#9073 | 4451.016155381109 | 211.34387
